country_name,country_flag,id
Afghanistan,231-Afghanistan.png,126
Albania,265-Albania.png,158
Algeria,157-Algeria.png,67
Argentina,237-Argentina.png,131
Armenia,196-Armenia.png,98
Australasia,24-Australasia.png,6
Australia,139-Australia.png,53
Austria,42-Austria.png,14
Azerbaijan,246-Azerbaijan.png,140
Bahamas,184-Bahamas.png,88
Bahrain,239-Bahrain.png,133
Barbados,213-Barbados.png,110
Belarus,273-Belarus.png,165
Belgium,145-Belgium.png,56
Bermuda,256-Bermuda.png,149
Bohemia,19-Bohemia.png,4
Botswana,241-Botswana.png,135
Brazil,174-Brazil.png,82
British West Indies,103-British West Indies.png,34
Bulgaria,173-Bulgaria.png,81
Burkina Faso,260-Burkina Faso.png,153
Burundi,197-Burundi.png,99
Cameroon,158-Cameroon.png,68
Canada,117-Canada.png,41
Cape Verde,266-Cape Verde.png,159
Ceylon,71-Ceylon.png,22
Chile,52-Chile.png,17
China,151-China.png,62
Chinese Taipei,159-Chinese Taipei.png,69
Colombia,129-Colombia.png,47
Costa Rica,164-Costa Rica.png,72
Croatia,179-Croatia.png,84
Cuba,15-Cuba.png,2
Cyprus,242-Cyprus.png,136
Czech Republic,189-Czech Republic.png,93
Czechoslovakia,36-Czechoslovakia.png,11
Denmark,140-Denmark.png,54
Djibouti,170-Djibouti.png,78
Dominica,263-Dominica.png,156
Dominican Republic,160-Dominican Republic.png,70
East Germany,124-East Germany.png,45
Ecuador,254-Ecuador.png,147
Egypt,220-Egypt.png,116
Eritrea,225-Eritrea.png,121
Estonia,31-Estonia.png,9
Ethiopia,236-Ethiopia.png,130
FR Yugoslavia,194-FR Yugoslavia.png,96
Fiji,249-Fiji.png,142
Finland,30-Finland.png,8
Formosa,98-Formosa.png,31
France,3-France.png,51
Gabon,243-Gabon.png,137
Georgia,218-Georgia.png,114
Germany,81-Germany.png,24
Ghana,130-Ghana.png,48
Great Britain,269-Great Britain.png,162
Greece,144-Greece.png,55
Grenada,240-Grenada.png,134
Guatemala,244-Guatemala.png,138
Guyana,150-Guyana.png,61
Haiti,45-Haiti.png,15
Hong Kong,223-Hong Kong.png,119
Hungary,94-Hungary.png,30
Iceland,89-Iceland.png,27
Independent Olympic Athletes,248-Independent Olympic Athletes.png,141
Independent Olympic Participants,180-Independent Olympic Participants.png,85
India,68-India.png,20
Individual Neutral Athletes,261-Individual Neutral Athletes.png,154
Indonesia,165-Indonesia.png,73
Iran,166-Iran.png,74
Iraq,104-Iraq.png,35
Ireland,149-Ireland.png,60
Italy,217-Italy.png,113
Ivory Coast,154-Ivory Coast.png,64
Jamaica,122-Jamaica.png,43
Japan,209-Japan.png,106
Jordan,250-Jordan.png,143
Kazakhstan,190-Kazakhstan.png,94
Kenya,110-Kenya.png,37
Kosovo,251-Kosovo.png,144
Kuwait,214-Kuwait.png,111
Kyrgyzstan,264-Kyrgyzstan.png,157
Latvia,56-Latvia.png,18
Lebanon,82-Lebanon.png,25
Liechtenstein,272-Liechtenstein.png,164
Lithuania,219-Lithuania.png,115
Luxembourg,35-Luxembourg.png,10
Macedonia,216-Macedonia.png,112
Malaysia,185-Malaysia.png,89
Mauritius,232-Mauritius.png,127
Mexico,115-Mexico.png,40
Mixed team,10-Mixed team.png,1
Moldova,200-Moldova.png,100
Mongolia,182-Mongolia.png,86
Montenegro,245-Montenegro.png,139
Morocco,100-Morocco.png,32
Mozambique,206-Mozambique.png,104
Namibia,177-Namibia.png,83
Netherlands,148-Netherlands.png,59
Netherlands Antilles,167-Netherlands Antilles.png,75
New Zealand,37-New Zealand.png,12
Niger,131-Niger.png,49
Nigeria,111-Nigeria.png,38
