rank,country_name,gold,silver,bronze,total,year,season,location,country_flag,country_id,index
1,United States,11,7,2,20,1896,none,Athens - Greece,0-United States.png,163,1
2,Greece,10,18,19,47,1896,none,Athens - Greece,1-Greece.png,55,1
3,Germany,6,5,2,13,1896,none,Athens - Greece,2-Germany.png,24,1
4,France,5,4,2,11,1896,none,Athens - Greece,3-France.png,51,1
5,Great Britain,2,3,2,7,1896,none,Athens - Greece,4-Great Britain.png,162,1
6,Hungary,2,1,3,6,1896,none,Athens - Greece,5-Hungary.png,30,1
7,Austria,2,1,2,5,1896,none,Athens - Greece,6-Austria.png,14,1
8,Australia,2,0,0,2,1896,none,Athens - Greece,7-Australia.png,53,1
9,Denmark,1,2,3,6,1896,none,Athens - Greece,8-Denmark.png,54,1
10,Switzerland,1,2,0,3,1896,none,Athens - Greece,9-Switzerland.png,161,1
11,Mixed team,1,0,1,2,1896,none,Athens - Greece,10-Mixed team.png,1,1
1,France,31,41,40,112,1900,none,Paris - France,3-France.png,51,2
2,United States,20,13,15,48,1900,none,Paris - France,11-United States.png,163,2
3,Great Britain,20,8,9,37,1900,none,Paris - France,4-Great Britain.png,162,2
4,Belgium,6,6,6,18,1900,none,Paris - France,12-Belgium.png,56,2
5,Switzerland,6,3,1,10,1900,none,Paris - France,9-Switzerland.png,161,2
6,Germany,4,3,2,9,1900,none,Paris - France,2-Germany.png,24,2
7,Italy,3,2,0,5,1900,none,Paris - France,13-Italy.png,113,2
8,Denmark,1,3,2,6,1900,none,Paris - France,8-Denmark.png,54,2
9,Mixed team,1,2,3,6,1900,none,Paris - France,10-Mixed team.png,1,2
9,Netherlands,1,2,3,6,1900,none,Paris - France,14-Netherlands.png,59,2
11,Hungary,1,2,2,5,1900,none,Paris - France,5-Hungary.png,30,2
12,Cuba,1,1,0,2,1900,none,Paris - France,15-Cuba.png,2,2
13,Spain,1,0,0,1,1900,none,Paris - France,16-Spain.png,63,2
14,Austria,0,3,3,6,1900,none,Paris - France,6-Austria.png,14,2
